Name,Individule Root Weight (g),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Number of Roots,Total_Weight_g,Replication,Plant_Type
QQS-3,220.11,36.85,33.36,17.24,20.74,10.69,,,,,,,5.0,338.99000000000007,1.0,QQS
QQS-5,251.9,190.61,,,,,,,,,,,2.0,442.51,1.0,QQS
QQS-7,409.9,200.67,94.16,49.84,,,,,,,,,4.0,754.5699999999999,1.0,QQS
QQS-10,123.99,60.59,72.92,44.08,36.27,33.03,20.64,22.57,38.51,12.83,,,10.0,465.42999999999995,1.0,QQS
QQS-10,136.05,153.16,61.58,53.65,48.4,62.08,32.1,27.53,27.66,,,,9.0,602.2099999999999,1.0,QQS
EV,115.19,138.11,58.22,40.04,25.44,16.91,10.92,13.13,5.95,5.75,5.44,,11.0,435.1,1.0,EV
WT,278.33,242.85,52.88,88.1,28.04,7.37,8.06,8.33,,,,,8.0,713.9599999999999,1.0,WT
QQS-3,286.75,202.63,156.96,58.26,76.8,17.17,,,,,,,6.0,798.5699999999999,2.0,QQS
QQS-5,179.17,183.07,161.86,175.8,94.37,47.96,33.19,,,,,,7.0,875.4200000000001,2.0,QQS
QQS-7,230.3,244.87,70.53,49.9,44.64,84.95,28.75,259.99,,,,,8.0,1013.9300000000001,2.0,QQS
QQS-10,64.14,73.43,88.32,73.1,111.5,154.66,95.17,86.1,81.07,107.09,30.28,37.05,12.0,1001.91,2.0,QQS
QQS-10,208.62,152.37,97.42,112.67,133.29,76.45,56.6,53.58,36.6,34.95,35.15,,11.0,997.7000000000002,2.0,QQS
WT,205.13,217.78,192.5,258.57,,,,,,,,,4.0,873.98,2.0,WT
QQS-3,331.2,281.57,78.07,25.38,,,,,,,,,4.0,716.2199999999999,3.0,QQS
QQS-5,138.21,99.19,77.16,25.39,23.76,18.9,,,,,,,6.0,382.60999999999996,3.0,QQS
QQS-7,367.74,85.55,59.18,19.17,10.8,,,,,,,,5.0,542.4399999999999,3.0,QQS
QQS-10,145.06,120.4,149.49,87.83,81.45,56.74,65.14,45.65,35.56,14.23,10.27,,11.0,811.8199999999999,3.0,QQS
WT,164.3,141.76,66.52,53.17,26.13,23.36,,,,,,,6.0,475.24,3.0,WT
