line1,line2,pvalue,p_adj,significant
QQS-3,QQS-5,0.8199229005967744,1.0,False
QQS-3,QQS-7,0.481347925105303,1.0,False
QQS-3,QQS-10,0.4207561568471468,1.0,False
QQS-3,EV,0.7633966449975524,1.0,False
QQS-3,WT,0.7228019275747042,1.0,False
QQS-5,QQS-7,0.3813617937832968,1.0,False
QQS-5,QQS-10,0.33105977401944,1.0,False
QQS-5,EV,0.9801626520348735,1.0,False
QQS-5,WT,0.5690134516192669,1.0,False
QQS-7,QQS-10,0.9760568255832573,1.0,False
QQS-7,EV,0.28916354863265975,1.0,False
QQS-7,WT,0.6689389716661782,1.0,False
QQS-10,EV,0.1947078308267365,1.0,False
QQS-10,WT,0.6001161949737541,1.0,False
EV,WT,0.4555945953819409,1.0,False
